# name: Базовые слова A1
# description: Частотные слова для первого знакомства с казахской лексикой.
# category: mixed

аға,старший брат
ағайынды,братья
ана,мать
ата,дедушка
әже,бабушка
әйел,"жена, женщина"
әке,отец
әке-шеше,родители
әпке,старшая сестра
әріптес,коллега
алаң,площадь
астана,столица
асхана,столовая
аудан,район
аула,двор
аурухана,больница
аялдама,остановка
әкімдік,акимат
бағдаршам,светофор
бақ,сад
айна,зеркало
асүй,кухня
әжетхана,туалет
бөлме,комната
бұрыш,угол
дәліз,коридор
еден,пол
есік,дверь
жастық,подушка
жуынатын бөлме,ванная комната
азық-түлік,продукты питания
айран,кефир
алма,яблоко
алмұрт,груша
бал,мёд
балмұздақ,мороженое
балық,рыба
бауырсақ,баурсак
бидай,пшеница
ботқа,каша
аққу,лебедь
аң,зверь
арыстан,лев
аю,медведь
әтеш,петух
балапан,цыплёнок
бүркіт,беркут
ешкі,коза
жануар,животное
жолбарыс,тигр
