# name: Повседневная лексика A2
# description: Слова и выражения для бытовых тем и регулярной практики.
# category: mixed

ағайын-туған,родственники
ағалы-інілі,родные братья
апалы-сіңілі,родные сёстры
ата-баба,предки
балдыз,младшие братья и сёстры жены
жасөспірім,подросток
жезде,муж старшей сестры
жеңге,жена старшего брата
жиен,племянник
немере,внук
ауа баптағыш,кондиционер
баспалдақ,лестница
бассейн,бассейн
бесік,колыбель
бөшке,бочка
газ плитасы,газовая плита
жәшік,ящик
жеке үй,частный дом
жіп,нитка
ине,игла
алхоры,слива
асқабақ,тыква
банан,банан
бәліш,пирог
бұршақ,горох
дәмдеуіш,специя
десерт,десерт
ет,мясо
жүгері,кукуруза
кәмпит,конфета
ағаш,дерево
ай,луна
арал,остров
аспан,небо
атмосфера,атмосфера
ауа,воздух
ауа райы,погода
бастау,источник
батпақ,топь
батыс,запад
ара,пчела
арқар,архар
бақа,лягушка
барыс,барс
бие,кобыла
бота,верблюжонок
бұғы,олень
бұзау,телёнок
доңыз,кабан
керік,жираф
