# name: Расширенная лексика B1
# description: Более разнообразные слова для уверенного чтения и понимания.
# category: mixed

ақсүйек,аристократ
армандаушы,мечтатель
бәсекелес,конкурент
бозбала,молодой человек
болжағыш,предсказатель
бос сөзге құмар кісі,пустомеля
бөспе,хвастун
бөтен адам,посторонний человек
білімдар,эрудит
данышпан,мудрец
ағаш жәшік,деревянный ящик
газ баллоны,газовый баллон
жорық құтысы,походная фляга
картон жәшік,картонный ящик
қара жәшік,чёрный ящик
құты,фляга
оттегі баллоны,кислородный баллон
сандық,сундук
метал сынығы,металлолом
ойыншық,игрушка
арпа,ячмень
ащы тұздық,"подливка, соус"
балғындық,свежесть
бүлдірген,земляника
бір қайнатым,заварка
газдалған су,газированная вода
күнжіт,кунжут
майлы айран,ряженка
мұздатылған жеміс,замороженные фрукты
салауатты тамақтану,здоровое питание
айдың тұтылуы,лунное затмение
айлақ,гавань
ақ жауын,мелкий дождь
астық тұқымдастар,злаки
баяу жел,бриз
жанартау,вулкан
жайылым,луг
жартас,скала
жаңбыр тамшысы,капля дождя
сарқырама,водопад
ақсерке,белуга
ақтабан,лещ
ақтүлкі,песец
арқан балық,лосось
бекіре,осётр
бозторғай,жаворонок
бөкен,антилопа
бұлбұл,соловей
бұлғын,соболь
дауылпаз,буревестник
