# name: 50 самых полезных глаголов
# description: Основные глаголы для фраз, действий и коротких упражнений.
# category: verbs

айту,говорить
алғыс айту,благодарить
алу,брать
аудару,переводить
ашу,открывать
беру,давать
білу,знать
дайындау,готовить
есту,слышать
жабу,закрывать
жазу,писать
жасау,делать
жату,ложиться
жауап беру,отвечать
жеу,есть
жинау,убираться
жуу,мыть
жуыну,мыться
жүгіру,бегать
жүру,ходить
кездесу,встречаться
келу,прийти
кету,уйти
кию,надевать
күлу,смеяться
көру,видеть
көшу,переезжать
көшіру,копировать
ойлау,думать
оқу,учить
отыру,садиться
ояну,просыпаться
өту,проходить
пісіру,варить
сұрау,спрашивать
тексеру,проверять
тоқтау,остановиться
тұру,жить
ұйықтау,спать
үйрену,учиться
үйлену,жениться
шығу,выходить
ішу,пить
қабылдау,принимать
түсіну,понимать
ойнау,играть
тыңдау,слушать
көмектесу,помогать
қорғау,защищать
табу,находить
